날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2017-02-01,광양항태양광,전남 광양시 도이동 775,2.3,5590800
2017-02-02,광양항태양광,전남 광양시 도이동 775,2.3,6204600
2017-02-03,광양항태양광,전남 광양시 도이동 775,2.3,5036400
2017-02-04,광양항태양광,전남 광양시 도이동 775,2.3,3225600
2017-02-05,광양항태양광,전남 광양시 도이동 775,2.3,2592000
2017-02-06,광양항태양광,전남 광양시 도이동 775,2.3,6105600
2017-02-07,광양항태양광,전남 광양시 도이동 775,2.3,4953600
2017-02-08,광양항태양광,전남 광양시 도이동 775,2.3,2923200
2017-02-09,광양항태양광,전남 광양시 도이동 775,2.3,5293800
2017-02-10,광양항태양광,전남 광양시 도이동 775,2.3,6426000
2017-02-11,광양항태양광,전남 광양시 도이동 775,2.3,6145200
2017-02-12,광양항태양광,전남 광양시 도이동 775,2.3,6816600
2017-02-13,광양항태양광,전남 광양시 도이동 775,2.3,5641200
2017-02-14,광양항태양광,전남 광양시 도이동 775,2.3,6570000
2017-02-15,광양항태양광,전남 광양시 도이동 775,2.3,6411600
2017-02-16,광양항태양광,전남 광양시 도이동 775,2.3,5160600
2017-02-17,광양항태양광,전남 광양시 도이동 775,2.3,6152400
2017-02-18,광양항태양광,전남 광양시 도이동 775,2.3,7162200
2017-02-19,광양항태양광,전남 광양시 도이동 775,2.3,6114600
2017-02-20,광양항태양광,전남 광양시 도이동 775,2.3,5706000
2017-02-21,광양항태양광,전남 광양시 도이동 775,2.3,6942600
2017-02-22,광양항태양광,전남 광양시 도이동 775,2.3,289800
2017-02-23,광양항태양광,전남 광양시 도이동 775,2.3,6073200
2017-02-24,광양항태양광,전남 광양시 도이동 775,2.3,7655400
2017-02-25,광양항태양광,전남 광양시 도이동 775,2.3,7390800
2017-02-26,광양항태양광,전남 광양시 도이동 775,2.3,6368400
2017-02-27,광양항태양광,전남 광양시 도이동 775,2.3,6940800
2017-02-28,광양항태양광,전남 광양시 도이동 775,2.3,7268400
2017-03-01,광양항태양광,전남 광양시 도이동 775,2.3,6406200
2017-03-02,광양항태양광,전남 광양시 도이동 775,2.3,5772600
2017-03-03,광양항태양광,전남 광양시 도이동 775,2.3,7768800
2017-03-04,광양항태양광,전남 광양시 도이동 775,2.3,7768800
2017-03-05,광양항태양광,전남 광양시 도이동 775,2.3,5887800
2017-03-06,광양항태양광,전남 광양시 도이동 775,2.3,8254800
2017-03-07,광양항태양광,전남 광양시 도이동 775,2.3,7981200
2017-03-08,광양항태양광,전남 광양시 도이동 775,2.3,6431400
2017-03-09,광양항태양광,전남 광양시 도이동 775,2.3,8053200
2017-03-10,광양항태양광,전남 광양시 도이동 775,2.3,8350200
2017-03-11,광양항태양광,전남 광양시 도이동 775,2.3,7606800
2017-03-12,광양항태양광,전남 광양시 도이동 775,2.3,7414200
2017-03-13,광양항태양광,전남 광양시 도이동 775,2.3,6494400
2017-03-14,광양항태양광,전남 광양시 도이동 775,2.3,8312400
2017-03-15,광양항태양광,전남 광양시 도이동 775,2.3,8292600
2017-03-16,광양항태양광,전남 광양시 도이동 775,2.3,7302600
2017-03-17,광양항태양광,전남 광양시 도이동 775,2.3,8019000
2017-03-18,광양항태양광,전남 광양시 도이동 775,2.3,5144400
2017-03-19,광양항태양광,전남 광양시 도이동 775,2.3,7810200
2017-03-20,광양항태양광,전남 광양시 도이동 775,2.3,1830600
2017-03-21,광양항태양광,전남 광양시 도이동 775,2.3,8829000
2017-03-22,광양항태양광,전남 광양시 도이동 775,2.3,6442200
2017-03-23,광양항태양광,전남 광양시 도이동 775,2.3,4190400
2017-03-24,광양항태양광,전남 광양시 도이동 775,2.3,3051000
2017-03-25,광양항태양광,전남 광양시 도이동 775,2.3,1269000
2017-03-26,광양항태양광,전남 광양시 도이동 775,2.3,4548600
2017-03-27,광양항태양광,전남 광양시 도이동 775,2.3,4548600
2017-03-28,광양항태양광,전남 광양시 도이동 775,2.3,7385400
2017-03-29,광양항태양광,전남 광양시 도이동 775,2.3,1234800
2017-03-30,광양항태양광,전남 광양시 도이동 775,2.3,9219600
2017-03-31,광양항태양광,전남 광양시 도이동 775,2.3,4093200
2017-04-01,광양항태양광,전남 광양시 도이동 775,2.3,6921000
2017-04-02,광양항태양광,전남 광양시 도이동 775,2.3,8164800
2017-04-03,광양항태양광,전남 광양시 도이동 775,2.3,10096200
2017-04-04,광양항태양광,전남 광양시 도이동 775,2.3,8739000
2017-04-05,광양항태양광,전남 광양시 도이동 775,2.3,988200
2017-04-06,광양항태양광,전남 광양시 도이동 775,2.3,622800
2017-04-07,광양항태양광,전남 광양시 도이동 775,2.3,8141400
2017-04-08,광양항태양광,전남 광양시 도이동 775,2.3,8487000
2017-04-09,광양항태양광,전남 광양시 도이동 775,2.3,5468400
2017-04-10,광양항태양광,전남 광양시 도이동 775,2.3,7468200
2017-04-11,광양항태양광,전남 광양시 도이동 775,2.3,6580800
2017-04-12,광양항태양광,전남 광양시 도이동 775,2.3,9945000
2017-04-13,광양항태양광,전남 광양시 도이동 775,2.3,9369000
2017-04-14,광양항태양광,전남 광양시 도이동 775,2.3,7749000
2017-04-15,광양항태양광,전남 광양시 도이동 775,2.3,9676800
2017-04-16,광양항태양광,전남 광양시 도이동 775,2.3,9907200
2017-04-17,광양항태양광,전남 광양시 도이동 775,2.3,496800
2017-04-18,광양항태양광,전남 광양시 도이동 775,2.3,8292600
2017-04-19,광양항태양광,전남 광양시 도이동 775,2.3,10796400
2017-04-20,광양항태양광,전남 광양시 도이동 775,2.3,4536000
2017-04-21,광양항태양광,전남 광양시 도이동 775,2.3,8893800
2017-04-22,광양항태양광,전남 광양시 도이동 775,2.3,7657200
2017-04-23,광양항태양광,전남 광양시 도이동 775,2.3,9180000
2017-04-24,광양항태양광,전남 광양시 도이동 775,2.3,9610200
2017-04-25,광양항태양광,전남 광양시 도이동 775,2.3,6667200
2017-04-26,광양항태양광,전남 광양시 도이동 775,2.3,4899600
2017-04-27,광양항태양광,전남 광양시 도이동 775,2.3,9167400
2017-04-28,광양항태양광,전남 광양시 도이동 775,2.3,9741600
2017-04-29,광양항태양광,전남 광양시 도이동 775,2.3,9441000
2017-04-30,광양항태양광,전남 광양시 도이동 775,2.3,8713800
2017-05-01,광양항태양광,전남 광양시 도이동 775,2.3,8537400
2017-05-02,광양항태양광,전남 광양시 도이동 775,2.3,7864200
2017-05-03,광양항태양광,전남 광양시 도이동 775,2.3,9099000
2017-05-04,광양항태양광,전남 광양시 도이동 775,2.3,8283600
2017-05-05,광양항태양광,전남 광양시 도이동 775,2.3,1402200
2017-05-06,광양항태양광,전남 광양시 도이동 775,2.3,9219600
2017-05-07,광양항태양광,전남 광양시 도이동 775,2.3,9723600
2017-05-08,광양항태양광,전남 광양시 도이동 775,2.3,6445800
2017-05-09,광양항태양광,전남 광양시 도이동 775,2.3,397800
2017-05-10,광양항태양광,전남 광양시 도이동 775,2.3,6665400
2017-05-11,광양항태양광,전남 광양시 도이동 775,2.3,9185400
2017-05-12,광양항태양광,전남 광양시 도이동 775,2.3,1132200
2017-05-13,광양항태양광,전남 광양시 도이동 775,2.3,9406800
2017-05-14,광양항태양광,전남 광양시 도이동 775,2.3,10618200
2017-05-15,광양항태양광,전남 광양시 도이동 775,2.3,8148600
2017-05-16,광양항태양광,전남 광양시 도이동 775,2.3,8791200
2017-05-17,광양항태양광,전남 광양시 도이동 775,2.3,11289600
2017-05-18,광양항태양광,전남 광양시 도이동 775,2.3,11206800
2017-05-19,광양항태양광,전남 광양시 도이동 775,2.3,11496600
2017-05-20,광양항태양광,전남 광양시 도이동 775,2.3,9030600
2017-05-21,광양항태양광,전남 광양시 도이동 775,2.3,8283600
2017-05-22,광양항태양광,전남 광양시 도이동 775,2.3,11385000
2017-05-23,광양항태양광,전남 광양시 도이동 775,2.3,7848000
2017-05-24,광양항태양광,전남 광양시 도이동 775,2.3,7848000
2017-05-25,광양항태양광,전남 광양시 도이동 775,2.3,12772800
2017-05-26,광양항태양광,전남 광양시 도이동 775,2.3,13888800
2017-05-27,광양항태양광,전남 광양시 도이동 775,2.3,13048200
2017-05-28,광양항태양광,전남 광양시 도이동 775,2.3,12002400
2017-05-29,광양항태양광,전남 광양시 도이동 775,2.3,12294000
2017-05-30,광양항태양광,전남 광양시 도이동 775,2.3,10634400
2017-05-31,광양항태양광,전남 광양시 도이동 775,2.3,10314000
2017-06-01,광양항태양광,전남 광양시 도이동 775,2.3,10645200
2017-06-02,광양항태양광,전남 광양시 도이동 775,2.3,11903400
2017-06-03,광양항태양광,전남 광양시 도이동 775,2.3,11739600
2017-06-04,광양항태양광,전남 광양시 도이동 775,2.3,11872800
2017-06-05,광양항태양광,전남 광양시 도이동 775,2.3,10004400
2017-06-06,광양항태양광,전남 광양시 도이동 775,2.3,3418200
2017-06-07,광양항태양광,전남 광양시 도이동 775,2.3,6053400
2017-06-08,광양항태양광,전남 광양시 도이동 775,2.3,12871800
2017-06-09,광양항태양광,전남 광양시 도이동 775,2.3,13120200
2017-06-10,광양항태양광,전남 광양시 도이동 775,2.3,9468000
2017-06-11,광양항태양광,전남 광양시 도이동 775,2.3,7903800
2017-06-12,광양항태양광,전남 광양시 도이동 775,2.3,10189800
2017-06-13,광양항태양광,전남 광양시 도이동 775,2.3,10416600
2017-06-14,광양항태양광,전남 광양시 도이동 775,2.3,12447000
2017-06-15,광양항태양광,전남 광양시 도이동 775,2.3,13131000
2017-06-16,광양항태양광,전남 광양시 도이동 775,2.3,11772000
2017-06-17,광양항태양광,전남 광양시 도이동 775,2.3,12065400
2017-06-18,광양항태양광,전남 광양시 도이동 775,2.3,12461400
2017-06-19,광양항태양광,전남 광양시 도이동 775,2.3,11885400
2017-06-20,광양항태양광,전남 광양시 도이동 775,2.3,2795400
2017-06-21,광양항태양광,전남 광양시 도이동 775,2.3,10553400
2017-06-22,광양항태양광,전남 광양시 도이동 775,2.3,12729600
2017-06-23,광양항태양광,전남 광양시 도이동 775,2.3,10672200
2017-06-24,광양항태양광,전남 광양시 도이동 775,2.3,8695800
2017-06-25,광양항태양광,전남 광양시 도이동 775,2.3,7880400
2017-06-26,광양항태양광,전남 광양시 도이동 775,2.3,2973600
2017-06-27,광양항태양광,전남 광양시 도이동 775,2.3,5376600
2017-06-28,광양항태양광,전남 광양시 도이동 775,2.3,10454400
2017-06-29,광양항태양광,전남 광양시 도이동 775,2.3,2653200
2017-06-30,광양항태양광,전남 광양시 도이동 775,2.3,7369200
2017-07-01,광양항태양광,전남 광양시 도이동 775,2.3,8215200
2017-07-02,광양항태양광,전남 광양시 도이동 775,2.3,5572800
2017-07-03,광양항태양광,전남 광양시 도이동 775,2.3,3299400
2017-07-04,광양항태양광,전남 광양시 도이동 775,2.3,8247600
2017-07-05,광양항태양광,전남 광양시 도이동 775,2.3,7144200
2017-07-06,광양항태양광,전남 광양시 도이동 775,2.3,1335600
2017-07-07,광양항태양광,전남 광양시 도이동 775,2.3,4487400
2017-07-08,광양항태양광,전남 광양시 도이동 775,2.3,2554200
2017-07-09,광양항태양광,전남 광양시 도이동 775,2.3,7349400
2017-07-10,광양항태양광,전남 광양시 도이동 775,2.3,3632400
2017-07-11,광양항태양광,전남 광양시 도이동 775,2.3,5113800
2017-07-12,광양항태양광,전남 광양시 도이동 775,2.3,10994400
2017-07-13,광양항태양광,전남 광양시 도이동 775,2.3,10740600
2017-07-14,광양항태양광,전남 광양시 도이동 775,2.3,6516000
2017-07-15,광양항태양광,전남 광양시 도이동 775,2.3,6064200
2017-07-16,광양항태양광,전남 광양시 도이동 775,2.3,9145800
2017-07-17,광양항태양광,전남 광양시 도이동 775,2.3,6739200
2017-07-18,광양항태양광,전남 광양시 도이동 775,2.3,6894000
2017-07-19,광양항태양광,전남 광양시 도이동 775,2.3,10141200
2017-07-20,광양항태양광,전남 광양시 도이동 775,2.3,9759600
2017-07-21,광양항태양광,전남 광양시 도이동 775,2.3,10107000
2017-07-22,광양항태양광,전남 광양시 도이동 775,2.3,9594000
2017-07-23,광양항태양광,전남 광양시 도이동 775,2.3,6679800
2017-07-24,광양항태양광,전남 광양시 도이동 775,2.3,9757800
2017-07-25,광양항태양광,전남 광양시 도이동 775,2.3,6710400
2017-07-26,광양항태양광,전남 광양시 도이동 775,2.3,9457200
2017-07-27,광양항태양광,전남 광양시 도이동 775,2.3,11412000
2017-07-28,광양항태양광,전남 광양시 도이동 775,2.3,10517400
2017-07-29,광양항태양광,전남 광양시 도이동 775,2.3,3936600
2017-07-30,광양항태양광,전남 광양시 도이동 775,2.3,6634800
2017-07-31,광양항태양광,전남 광양시 도이동 775,2.3,5504400
2017-08-01,광양항태양광,전남 광양시 도이동 775,2.3,8359200
2017-08-02,광양항태양광,전남 광양시 도이동 775,2.3,7023600
2017-08-03,광양항태양광,전남 광양시 도이동 775,2.3,9999000
2017-08-04,광양항태양광,전남 광양시 도이동 775,2.3,9012600
2017-08-05,광양항태양광,전남 광양시 도이동 775,2.3,10499400
2017-08-06,광양항태양광,전남 광양시 도이동 775,2.3,9271800
2017-08-07,광양항태양광,전남 광양시 도이동 775,2.3,10382400
2017-08-08,광양항태양광,전남 광양시 도이동 775,2.3,6427800
2017-08-09,광양항태양광,전남 광양시 도이동 775,2.3,5904000
2017-08-10,광양항태양광,전남 광양시 도이동 775,2.3,9975600
2017-08-11,광양항태양광,전남 광양시 도이동 775,2.3,8994600
2017-08-12,광양항태양광,전남 광양시 도이동 775,2.3,7909200
2017-08-13,광양항태양광,전남 광양시 도이동 775,2.3,3571200
2017-08-14,광양항태양광,전남 광양시 도이동 775,2.3,1708200
2017-08-15,광양항태양광,전남 광양시 도이동 775,2.3,1877400
2017-08-16,광양항태양광,전남 광양시 도이동 775,2.3,9959400
2017-08-17,광양항태양광,전남 광양시 도이동 775,2.3,7725600
2017-08-18,광양항태양광,전남 광양시 도이동 775,2.3,9145800
2017-08-19,광양항태양광,전남 광양시 도이동 775,2.3,5360400
2017-08-20,광양항태양광,전남 광양시 도이동 775,2.3,3758400
2017-08-21,광양항태양광,전남 광양시 도이동 775,2.3,7101000
2017-08-22,광양항태양광,전남 광양시 도이동 775,2.3,5941800
2017-08-23,광양항태양광,전남 광양시 도이동 775,2.3,8715600
2017-08-24,광양항태양광,전남 광양시 도이동 775,2.3,10173600
2017-08-25,광양항태양광,전남 광양시 도이동 775,2.3,8735400
2017-08-26,광양항태양광,전남 광양시 도이동 775,2.3,11314800
2017-08-27,광양항태양광,전남 광양시 도이동 775,2.3,11417400
2017-08-28,광양항태양광,전남 광양시 도이동 775,2.3,8830800
2017-08-29,광양항태양광,전남 광양시 도이동 775,2.3,11050200
2017-08-30,광양항태양광,전남 광양시 도이동 775,2.3,8578800
2017-08-31,광양항태양광,전남 광양시 도이동 775,2.3,10360800
2017-09-01,광양항태양광,전남 광양시 도이동 775,2.3,8067600
2017-09-02,광양항태양광,전남 광양시 도이동 775,2.3,8411400
2017-09-03,광양항태양광,전남 광양시 도이동 775,2.3,11073600
2017-09-04,광양항태양광,전남 광양시 도이동 775,2.3,5245200
2017-09-05,광양항태양광,전남 광양시 도이동 775,2.3,2653200
2017-09-06,광양항태양광,전남 광양시 도이동 775,2.3,1000800
2017-09-07,광양항태양광,전남 광양시 도이동 775,2.3,4788000
2017-09-08,광양항태양광,전남 광양시 도이동 775,2.3,9160200
2017-09-09,광양항태양광,전남 광양시 도이동 775,2.3,8447400
2017-09-10,광양항태양광,전남 광양시 도이동 775,2.3,9527400
2017-09-11,광양항태양광,전남 광양시 도이동 775,2.3,3144600
2017-09-12,광양항태양광,전남 광양시 도이동 775,2.3,10697400
2017-09-13,광양항태양광,전남 광양시 도이동 775,2.3,10819800
2017-09-14,광양항태양광,전남 광양시 도이동 775,2.3,10836000
2017-09-15,광양항태양광,전남 광양시 도이동 775,2.3,6361200
2017-09-16,광양항태양광,전남 광양시 도이동 775,2.3,6213600
2017-09-17,광양항태양광,전남 광양시 도이동 775,2.3,7074000
2017-09-18,광양항태양광,전남 광양시 도이동 775,2.3,10006200
2017-09-19,광양항태양광,전남 광양시 도이동 775,2.3,7291800
2017-09-20,광양항태양광,전남 광양시 도이동 775,2.3,4627800
2017-09-21,광양항태양광,전남 광양시 도이동 775,2.3,8218800
2017-09-22,광양항태양광,전남 광양시 도이동 775,2.3,8692200
2017-09-23,광양항태양광,전남 광양시 도이동 775,2.3,6620400
2017-09-24,광양항태양광,전남 광양시 도이동 775,2.3,8244000
2017-09-25,광양항태양광,전남 광양시 도이동 775,2.3,8361000
2017-09-26,광양항태양광,전남 광양시 도이동 775,2.3,8402400
2017-09-27,광양항태양광,전남 광양시 도이동 775,2.3,2394000
2017-09-28,광양항태양광,전남 광양시 도이동 775,2.3,9090000
2017-09-29,광양항태양광,전남 광양시 도이동 775,2.3,9300600
2017-09-30,광양항태양광,전남 광양시 도이동 775,2.3,12600
2017-10-01,광양항태양광,전남 광양시 도이동 775,2.3,1413000
2017-10-02,광양항태양광,전남 광양시 도이동 775,2.3,0
2017-10-03,광양항태양광,전남 광양시 도이동 775,2.3,0
2017-10-04,광양항태양광,전남 광양시 도이동 775,2.3,0
2017-10-05,광양항태양광,전남 광양시 도이동 775,2.3,2082600
2017-10-06,광양항태양광,전남 광양시 도이동 775,2.3,1605600
2017-10-07,광양항태양광,전남 광양시 도이동 775,2.3,8245800
2017-10-08,광양항태양광,전남 광양시 도이동 775,2.3,8614800
2017-10-09,광양항태양광,전남 광양시 도이동 775,2.3,8440200
2017-10-10,광양항태양광,전남 광양시 도이동 775,2.3,8614800
2017-10-11,광양항태양광,전남 광양시 도이동 775,2.3,4397400
2017-10-12,광양항태양광,전남 광양시 도이동 775,2.3,106200
2017-10-13,광양항태양광,전남 광양시 도이동 775,2.3,8794800
2017-10-14,광양항태양광,전남 광양시 도이동 775,2.3,5691600
2017-10-15,광양항태양광,전남 광양시 도이동 775,2.3,3439800
2017-10-16,광양항태양광,전남 광양시 도이동 775,2.3,3036600
2017-10-17,광양항태양광,전남 광양시 도이동 775,2.3,4221000
2017-10-18,광양항태양광,전남 광양시 도이동 775,2.3,3202200
2017-10-19,광양항태양광,전남 광양시 도이동 775,2.3,5472000
2017-10-20,광양항태양광,전남 광양시 도이동 775,2.3,8026200
2017-10-21,광양항태양광,전남 광양시 도이동 775,2.3,8073000
2017-10-22,광양항태양광,전남 광양시 도이동 775,2.3,7745400
2017-10-23,광양항태양광,전남 광양시 도이동 775,2.3,7371000
2017-10-24,광양항태양광,전남 광양시 도이동 775,2.3,5050800
2017-10-25,광양항태양광,전남 광양시 도이동 775,2.3,7239600
2017-10-26,광양항태양광,전남 광양시 도이동 775,2.3,5896800
2017-10-27,광양항태양광,전남 광양시 도이동 775,2.3,6123600
2017-10-28,광양항태양광,전남 광양시 도이동 775,2.3,4314600
2017-10-29,광양항태양광,전남 광양시 도이동 775,2.3,5976000
2017-10-30,광양항태양광,전남 광양시 도이동 775,2.3,7419600
2017-10-31,광양항태양광,전남 광양시 도이동 775,2.3,7101000
2017-11-01,광양항태양광,전남 광양시 도이동 775,2.3,6944400
2017-11-02,광양항태양광,전남 광양시 도이동 775,2.3,5680800
2017-11-03,광양항태양광,전남 광양시 도이동 775,2.3,6013800
2017-11-04,광양항태양광,전남 광양시 도이동 775,2.3,6571800
2017-11-05,광양항태양광,전남 광양시 도이동 775,2.3,6438600
2017-11-06,광양항태양광,전남 광양시 도이동 775,2.3,6436800
2017-11-07,광양항태양광,전남 광양시 도이동 775,2.3,3036600
2017-11-08,광양항태양광,전남 광양시 도이동 775,2.3,5864400
2017-11-09,광양항태양광,전남 광양시 도이동 775,2.3,6015600
2017-11-10,광양항태양광,전남 광양시 도이동 775,2.3,4899600
2017-11-11,광양항태양광,전남 광양시 도이동 775,2.3,6332400
2017-11-12,광양항태양광,전남 광양시 도이동 775,2.3,5450400
2017-11-13,광양항태양광,전남 광양시 도이동 775,2.3,4084200
2017-11-14,광양항태양광,전남 광양시 도이동 775,2.3,5418000
2017-11-15,광양항태양광,전남 광양시 도이동 775,2.3,5365800
2017-11-16,광양항태양광,전남 광양시 도이동 775,2.3,5716800
2017-11-17,광양항태양광,전남 광양시 도이동 775,2.3,3029400
2017-11-18,광양항태양광,전남 광양시 도이동 775,2.3,5706000
2017-11-19,광양항태양광,전남 광양시 도이동 775,2.3,5796000
2017-11-20,광양항태양광,전남 광양시 도이동 775,2.3,5560200
2017-11-21,광양항태양광,전남 광양시 도이동 775,2.3,5236200
2017-11-22,광양항태양광,전남 광양시 도이동 775,2.3,2714400
2017-11-23,광양항태양광,전남 광양시 도이동 775,2.3,4678200
2017-11-24,광양항태양광,전남 광양시 도이동 775,2.3,4069800
2017-11-25,광양항태양광,전남 광양시 도이동 775,2.3,4298400
2017-11-26,광양항태양광,전남 광양시 도이동 775,2.3,3700800
2017-11-27,광양항태양광,전남 광양시 도이동 775,2.3,3812400
2017-11-28,광양항태양광,전남 광양시 도이동 775,2.3,3078000
2017-11-29,광양항태양광,전남 광양시 도이동 775,2.3,2802600
2017-11-30,광양항태양광,전남 광양시 도이동 775,2.3,4228200
2017-12-01,광양항태양광,전남 광양시 도이동 775,2.3,5155200
2017-12-02,광양항태양광,전남 광양시 도이동 775,2.3,4354200
2017-12-03,광양항태양광,전남 광양시 도이동 775,2.3,4660200
2017-12-04,광양항태양광,전남 광양시 도이동 775,2.3,4077000
2017-12-05,광양항태양광,전남 광양시 도이동 775,2.3,5110200
2017-12-06,광양항태양광,전남 광양시 도이동 775,2.3,4593600
2017-12-07,광양항태양광,전남 광양시 도이동 775,2.3,3630600
2017-12-08,광양항태양광,전남 광양시 도이동 775,2.3,4890600
2017-12-09,광양항태양광,전남 광양시 도이동 775,2.3,3412800
2017-12-10,광양항태양광,전남 광양시 도이동 775,2.3,3117600
2017-12-11,광양항태양광,전남 광양시 도이동 775,2.3,3645000
2017-12-12,광양항태양광,전남 광양시 도이동 775,2.3,5004000
2017-12-13,광양항태양광,전남 광양시 도이동 775,2.3,5252400
2017-12-14,광양항태양광,전남 광양시 도이동 775,2.3,4280400
2017-12-15,광양항태양광,전남 광양시 도이동 775,2.3,4120200
2017-12-16,광양항태양광,전남 광양시 도이동 775,2.3,3684600
2017-12-17,광양항태양광,전남 광양시 도이동 775,2.3,4966200
2017-12-18,광양항태양광,전남 광양시 도이동 775,2.3,4267800
2017-12-19,광양항태양광,전남 광양시 도이동 775,2.3,4032000
2017-12-20,광양항태양광,전남 광양시 도이동 775,2.3,4843800
2017-12-21,광양항태양광,전남 광양시 도이동 775,2.3,4917600
2017-12-22,광양항태양광,전남 광양시 도이동 775,2.3,4638600
2017-12-23,광양항태양광,전남 광양시 도이동 775,2.3,3436200
2017-12-24,광양항태양광,전남 광양시 도이동 775,2.3,1135800
2017-12-25,광양항태양광,전남 광양시 도이동 775,2.3,4827600
2017-12-26,광양항태양광,전남 광양시 도이동 775,2.3,4660200
2017-12-27,광양항태양광,전남 광양시 도이동 775,2.3,5403600
2017-12-28,광양항태양광,전남 광양시 도이동 775,2.3,3277800
2017-12-29,광양항태양광,전남 광양시 도이동 775,2.3,4537800
2017-12-30,광양항태양광,전남 광양시 도이동 775,2.3,2264400
2017-12-31,광양항태양광,전남 광양시 도이동 775,2.3,4804200
2018-01-01,광양항태양광,전남 광양시 도이동 775,2.3,5112000
2018-01-02,광양항태양광,전남 광양시 도이동 775,2.3,4345200
2018-01-03,광양항태양광,전남 광양시 도이동 775,2.3,4966200
2018-01-04,광양항태양광,전남 광양시 도이동 775,2.3,3209400
2018-01-05,광양항태양광,전남 광양시 도이동 775,2.3,4845600
2018-01-06,광양항태양광,전남 광양시 도이동 775,2.3,5232600
2018-01-07,광양항태양광,전남 광양시 도이동 775,2.3,1852200
2018-01-08,광양항태양광,전남 광양시 도이동 775,2.3,1080000
2018-01-09,광양항태양광,전남 광양시 도이동 775,2.3,3943800
2018-01-10,광양항태양광,전남 광양시 도이동 775,2.3,2890800
2018-01-11,광양항태양광,전남 광양시 도이동 775,2.3,5245200
2018-01-12,광양항태양광,전남 광양시 도이동 775,2.3,5711400
2018-01-13,광양항태양광,전남 광양시 도이동 775,2.3,4991400
2018-01-14,광양항태양광,전남 광양시 도이동 775,2.3,4204800
2018-01-15,광양항태양광,전남 광양시 도이동 775,2.3,4512600
2018-01-16,광양항태양광,전남 광양시 도이동 775,2.3,320400
2018-01-17,광양항태양광,전남 광양시 도이동 775,2.3,2181600
2018-01-18,광양항태양광,전남 광양시 도이동 775,2.3,4123800
2018-01-19,광양항태양광,전남 광양시 도이동 775,2.3,4741200
2018-01-20,광양항태양광,전남 광양시 도이동 775,2.3,4642200
2018-01-21,광양항태양광,전남 광양시 도이동 775,2.3,4028400
2018-01-22,광양항태양광,전남 광양시 도이동 775,2.3,3004200
2018-01-23,광양항태양광,전남 광양시 도이동 775,2.3,4782600
2018-01-24,광양항태양광,전남 광양시 도이동 775,2.3,5319000
2018-01-25,광양항태양광,전남 광양시 도이동 775,2.3,5391000
2018-01-26,광양항태양광,전남 광양시 도이동 775,2.3,5572800
2018-01-27,광양항태양광,전남 광양시 도이동 775,2.3,5371200
2018-01-28,광양항태양광,전남 광양시 도이동 775,2.3,4908600
2018-01-29,광양항태양광,전남 광양시 도이동 775,2.3,5302800
2018-01-30,광양항태양광,전남 광양시 도이동 775,2.3,5025600
2018-01-31,광양항태양광,전남 광양시 도이동 775,2.3,3429000
2018-02-01,광양항태양광,전남 광양시 도이동 775,2.3,5342400
2018-02-02,광양항태양광,전남 광양시 도이동 775,2.3,4231800
