일일발전량(Wh),합계 일사량(MJ/m2),1시간 최다일사량(MJ/m2),합계 대형증발량(mm),합계 소형증발량(mm),합계 일조시간(hr),최고기온(°C),가조시간(hr),평균 지면온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균기온(°C),평균 30cm 지중온도(°C),최저기온(°C),최저 초상온도(°C),최소 상대습도 시각(hhmi),최고기온 시각(hhmi),평균 이슬점온도(°C),최저 해면기압(hPa),평균 상대습도(%),최저기온 시각(hhmi),평균 현지기압(hPa),평균 해면기압(hPa),10분 최다 강수량(mm),최소 상대습도(%),최고 해면기압(hPa),1시간 최다강수량(mm),일강수량(mm),평균 전운량(1/10),평균 중하층운량(1/10),Cluster
0.7801969932607569,0.7645718007163792,1.0,0.5909090909090908,0.5894736842105263,0.5147058823529412,0.7801932367149758,1.0,0.6554054054054053,0.6871794871794872,0.6721311475409836,0.668693009118541,0.770573566084788,0.6614420062695925,0.7506361323155217,0.7476190476190475,0.5568278201865988,0.645462256149279,0.7763975155279503,0.4625623960066534,0.6198453608247423,0.1846602751146311,0.35198135198135105,0.3468468468468444,0.02857142857142857,0.41666666666666663,0.37647058823529633,0.01,0.009685230024213076,0.5599999999999999,0.4375,0
0.03473302229134267,0.6027352653858679,0.8981233243967829,0.4848484848484848,0.4842105263157894,0.4411764705882353,0.7487922705314008,1.0,0.6711711711711711,0.7128205128205127,0.7049180327868853,0.7203647416413375,0.770573566084788,0.7021943573667713,0.8040712468193385,0.7738095238095237,0.6166242578456319,0.5708227311280746,0.8012422360248448,0.5973377703826941,0.6842783505154639,0.25927469779074613,0.4638694638694645,0.4549549549549532,0.0,0.5208333333333333,0.4141176470588235,0.0,0.0,0.66,0.475,0
0.8685847589424572,0.7915988277434062,0.9115281501340482,0.6515151515151514,0.6421052631578946,0.7205882352941178,0.7632850241545893,1.0,0.6801801801801801,0.723076923076923,0.7213114754098361,0.7386018237082067,0.7780548628428927,0.7272727272727274,0.7938931297709924,0.7357142857142857,0.6030534351145038,0.5733672603901612,0.7867494824016563,0.5540765391014979,0.6275773195876289,0.2275948311796582,0.40326340326340215,0.3963963963963941,0.0,0.48958333333333326,0.36470588235294343,0.0,0.0,0.36000000000000004,0.3125,0
0.9679885951270089,0.9433409312927387,0.9115281501340482,0.7575757575757575,0.7578947368421052,0.9632352941176471,0.8043478260869564,1.0,0.7229729729729728,0.7487179487179486,0.7377049180327868,0.7477203647416414,0.8004987531172069,0.7366771159874609,0.7531806615776082,0.6857142857142857,0.6959287531806615,0.6005089058524172,0.7784679089026915,0.5790349417637266,0.5695876288659794,0.14756148395164653,0.4242424242424221,0.41441441441441285,0.0,0.38541666666666663,0.37647058823529633,0.0,0.0,0.08000000000000002,0.0,0
0.927293934681182,0.9006838163464671,0.9222520107238605,0.712121212121212,0.7157894736842105,0.8088235294117647,0.8188405797101449,1.0,0.7409909909909909,0.7666666666666666,0.7650273224043715,0.7720364741641338,0.8129675810473814,0.7523510971786834,0.7633587786259542,0.6642857142857141,0.600932994062765,0.5746395250212044,0.7619047619047619,0.5940099833610617,0.5103092783505155,0.21467278032513548,0.43589743589743435,0.42792792792792866,0.0,0.2708333333333333,0.37411764705882433,0.0,0.0,0.49000000000000005,0.0375,0
0.9818558838776569,0.9368283946597201,0.9249329758713137,0.7272727272727272,0.7263157894736841,0.8823529411764706,0.821256038647343,1.0,0.7274774774774774,0.7538461538461538,0.7349726775956285,0.729483282674772,0.8179551122194513,0.7178683385579938,0.7862595419847329,0.7428571428571429,0.6407972858354537,0.6034775233248515,0.8095238095238095,0.5191347753743756,0.6198453608247423,0.22926219258024177,0.37062937062936996,0.3626126126126117,0.0,0.4583333333333333,0.32941176470588474,0.0,0.0,0.33,0.2925,0
0.6271384136858477,0.5906870726147835,0.646112600536193,0.4848484848484848,0.4842105263157894,0.4558823529411765,0.8091787439613526,1.0,0.6869369369369369,0.7256410256410256,0.7295081967213115,0.7537993920972644,0.8179551122194513,0.74294670846395,0.8040712468193385,0.7428571428571429,0.5720949957591178,0.5597964376590331,0.8364389233954451,0.4991680532445919,0.6791237113402062,0.18924551896623595,0.3240093240093245,0.3175675675675649,0.0,0.4270833333333333,0.31764705882353184,0.0,0.0,0.68,0.1,0
0.8675479523068947,0.8313253012048194,0.7882037533512064,0.712121212121212,0.7052631578947367,0.8823529411764706,0.859903381642512,1.0,0.7545045045045045,0.7897435897435897,0.76775956284153,0.7750759878419453,0.8703241895261845,0.7586206896551725,0.8269720101781171,0.769047619047619,0.6424936386768447,0.6412213740458015,0.8260869565217391,0.4908485856905145,0.5567010309278351,0.21550646102542728,0.30303030303030454,0.2972972972972947,0.0,0.375,0.25647058823529534,0.0,0.0,0.27999999999999997,0.0125,0
0.40837221358216697,0.403126017583849,0.7774798927613941,0.409090909090909,0.41052631578947363,0.13970588235294118,0.7101449275362319,1.0,0.6216216216216215,0.6512820512820513,0.6612021857923498,0.696048632218845,0.7481296758104737,0.6896551724137931,0.7862595419847329,0.7642857142857142,0.5657336726039016,0.5653095843935538,0.8033126293995858,0.2579034941763716,0.7422680412371135,0.8807836598582743,0.06993006993007,0.07207207207206778,0.02857142857142857,0.59375,0.0964705882352952,0.02,0.014527845036319613,0.79,0.875,0
0.6394504924831519,0.5555193747964833,0.8230563002680966,0.43939393939393934,0.44210526315789467,0.35294117647058826,0.7801932367149758,1.0,0.6463963963963963,0.6871794871794872,0.680327868852459,0.7051671732522797,0.7755610972568577,0.6959247648902822,0.7837150127226464,0.7357142857142857,0.597540288379983,0.5937234944868532,0.7722567287784678,0.42928452579034726,0.5876288659793815,0.21550646102542728,0.31468531468531324,0.3085585585585555,0.0,0.44791666666666663,0.32470588235294073,0.0,0.0,0.5599999999999999,0.5125,0
0.578538102643857,0.4926733962878542,0.5067024128686327,0.42424242424242414,0.431578947368421,0.2573529411764706,0.7270531400966184,1.0,0.6576576576576576,0.7076923076923076,0.6748633879781422,0.7082066869300911,0.7780548628428927,0.7021943573667713,0.7659033078880408,0.7190476190476189,0.6475826972010178,0.6140797285835453,0.7908902691511387,0.5906821963394329,0.6327319587628867,0.1350562734472697,0.4708624708624711,0.46396396396396256,0.0,0.5416666666666666,0.43058823529411683,0.0,0.0,0.8300000000000001,0.375,0
0.3801192327630897,0.3145555193747965,0.4262734584450402,0.2424242424242424,0.24210526315789474,0.007352941176470589,0.6980676328502415,0.978723404255319,0.617117117117117,0.6564102564102564,0.6338797814207651,0.662613981762918,0.7481296758104737,0.6551724137931035,0.7888040712468194,0.7523809523809523,0.5636132315521628,0.5517387616624257,0.7805383022774327,0.5490848585690529,0.6701030927835053,0.0,0.3752913752913756,0.37162162162162105,0.0,0.5625,0.31529411764705984,0.0,0.0,0.79,0.6625,0
0.5421202695697253,0.4995115597525237,0.611260053619303,0.3484848484848484,0.34736842105263155,0.16176470588235295,0.7318840579710144,0.978723404255319,0.6666666666666665,0.7153846153846154,0.6830601092896175,0.6930091185410334,0.768079800498753,0.6771159874608151,0.7913486005089059,0.7642857142857142,0.6132315521628499,0.6128074639525021,0.8033126293995858,0.4941763727121433,0.6945876288659794,0.2134222592746978,0.3263403263403255,0.32207207207207134,0.0,0.5208333333333333,0.2964705882352945,0.0,0.0,0.8400000000000001,0.5625,0
0.795360290305858,0.6756756756756758,0.7667560321715818,0.5454545454545454,0.5368421052631579,0.4705882352941177,0.7995169082125604,0.978723404255319,0.7567567567567566,0.7615384615384615,0.7377049180327868,0.729483282674772,0.8179551122194513,0.7084639498432602,0.8447837150127226,0.7761904761904761,0.518659881255301,0.5161153519932146,0.8674948240165632,0.4941763727121433,0.77319587628866,0.17048770320967072,0.30536130536130557,0.30180180180180116,0.39999999999999997,0.5625,0.240000000000002,0.20800000000000002,0.05084745762711865,0.58,0.475,0
0.7166925868325558,0.6991208075545426,0.7989276139410187,0.5303030303030303,0.5368421052631579,0.6102941176470589,0.8043478260869564,0.978723404255319,0.7702702702702702,0.7589743589743589,0.7486338797814208,0.7568389057750761,0.8179551122194513,0.7398119122257054,0.8117048346055981,0.7785714285714285,0.55470737913486,0.5305343511450381,0.8405797101449275,0.5024958402662207,0.6945876288659794,0.22592746977907463,0.3240093240093245,0.3175675675675649,0.0,0.47916666666666663,0.25882352941176734,0.0,0.0,0.54,0.1375,0
0.3955417314670814,0.3959622272875285,0.7184986595174263,0.3030303030303029,0.29473684210526313,0.20588235294117646,0.751207729468599,0.978723404255319,0.6824324324324323,0.6871794871794872,0.6994535519125683,0.7446808510638298,0.7855361596009974,0.7366771159874609,0.8091603053435115,0.7714285714285714,0.4732824427480916,0.5195080576759966,0.8530020703933747,0.5024958402662207,0.8054123711340208,0.13338891204668613,0.31701631701631783,0.3108108108108105,0.02857142857142857,0.6458333333333333,0.25411764705882334,0.04,0.01694915254237288,0.65,0.325,0
0.4320891653706584,0.36437642461738856,0.5844504021447722,0.3181818181818181,0.31578947368421045,0.08823529411764706,0.7753623188405797,0.978723404255319,0.7027027027027026,0.7205128205128205,0.7103825136612022,0.7264437689969605,0.8104738154613466,0.7147335423197493,0.8447837150127226,0.8499999999999999,0.6789652247667515,0.6450381679389312,0.8799171842650104,0.4342762063227923,0.8208762886597939,0.38015839933305545,0.24009324009323763,0.23648648648648418,0.39999999999999997,0.65625,0.21176470588235574,0.28,0.1961259079903148,0.9400000000000001,0.2925,0
0.5206065318818041,0.45522631064799746,0.4959785522788204,0.3484848484848484,0.34736842105263155,0.11029411764705882,0.7898550724637681,0.978723404255319,0.7297297297297296,0.7435897435897435,0.7377049180327868,0.7507598784194529,0.825436408977556,0.7366771159874609,0.8651399491094148,0.8285714285714285,0.5640373197625106,0.68490245971162,0.8716356107660455,0.5024958402662207,0.7538659793814434,0.18757815756565235,0.37296037296037454,0.36486486486486314,0.0,0.625,0.37647058823529633,0.0,0.0,0.5202981366459627,0.2925,0
0.5751684810782789,0.4216867469879519,0.6005361930294907,0.27272727272727265,0.26315789473684204,0.15441176470588236,0.6835748792270531,0.9574468085106385,0.6711711711711711,0.6589743589743589,0.6502732240437158,0.662613981762918,0.7306733167082293,0.6551724137931035,0.7837150127226464,0.7999999999999998,0.4351145038167939,0.4342663273960984,0.8219461697722568,0.45757071547420836,0.8427835051546392,0.9691538140892039,0.27039627039627234,0.2680180180180187,0.08571428571428572,0.6666666666666666,0.24235294117647044,0.08,0.05084745762711865,0.8900000000000001,0.4125,0
0.8240020736132712,0.6379029632041682,0.7050938337801608,0.49999999999999994,0.5052631578947369,0.4558823529411765,0.7487922705314008,0.9574468085106385,0.7049549549549549,0.6948717948717948,0.6721311475409836,0.6808510638297872,0.7581047381546134,0.6614420062695925,0.7709923664122138,0.7738095238095237,0.6183206106870228,0.6399491094147582,0.805383022774327,0.5391014975041593,0.7396907216494845,0.05960817007086286,0.3776223776223766,0.37162162162162105,0.02857142857142857,0.53125,0.3341176470588252,0.01,0.002421307506053269,0.58,0.625,0
0.7847330222913427,0.7541517421035495,0.903485254691689,0.5606060606060606,0.5684210526315788,0.5294117647058824,0.7777777777777777,0.936170212765957,0.7635135135135134,0.7487179487179486,0.7240437158469946,0.723404255319149,0.7930174563591021,0.7084639498432602,0.8091603053435115,0.8214285714285714,0.6039016115351993,0.6068702290076335,0.8198757763975155,0.5723793677204654,0.6829896907216496,0.20925385577323885,0.41958041958042,0.4121621621621614,0.0,0.5520833333333333,0.3670588235294119,0.0,0.0,0.6400000000000001,0.5375,0
0.35316226023846553,0.30315858026701403,0.3833780160857909,0.2575757575757575,0.2526315789473684,0.022058823529411766,0.681159420289855,0.936170212765957,0.6373873873873873,0.6564102564102564,0.6748633879781422,0.7203647416413375,0.7630922693266832,0.7115987460815048,0.8142493638676845,0.8166666666666667,0.5593723494486853,0.5568278201865988,0.815734989648033,0.5956738768718779,0.7396907216494845,0.21550646102542728,0.43822843822843893,0.43243243243243157,0.0,0.6458333333333333,0.37647058823529633,0.0,0.0,0.73,0.6625,0
0.3859512700881286,0.3917290784760665,0.6166219839142092,0.3636363636363636,0.3578947368421052,0.13970588235294118,0.8188405797101449,0.936170212765957,0.7522522522522521,0.7820512820512819,0.7459016393442622,0.7416413373860182,0.8528678304239401,0.7210031347962382,0.9058524173027991,0.8952380952380952,0.6552162849872774,0.6543681085665818,0.9130434782608695,0.5540765391014979,0.818298969072165,0.9770737807419758,0.4009324009324011,0.3918918918918912,0.02857142857142857,0.6458333333333333,0.3670588235294119,0.01,0.012106537530266345,0.8800000000000001,0.625,0
0.5768532918610679,0.5076522305437969,0.6166219839142092,0.33333333333333326,0.3368421052631579,0.2867647058823529,0.7995169082125604,0.936170212765957,0.7635135135135134,0.7820512820512819,0.7540983606557378,0.7598784194528875,0.8304239401496258,0.7460815047021944,0.8524173027989822,0.8547619047619046,0.6183206106870228,0.6399491094147582,0.8840579710144927,0.6106489184692165,0.7873711340206185,0.21800750312630263,0.4848484848484844,0.47522522522522337,0.02857142857142857,0.625,0.41882352941176393,0.05,0.01694915254237288,0.91,0.575,0
0.44206842923794715,0.3617714099641811,0.5120643431635389,0.28787878787878785,0.29473684210526313,0.08823529411764706,0.7367149758454106,0.9148936170212765,0.6576576576576576,0.6641025641025641,0.6775956284153005,0.6930091185410334,0.768079800498753,0.6802507836990597,0.8091603053435115,0.8261904761904761,0.553011026293469,0.5542832909245122,0.865424430641822,0.43094841930116345,0.8840206185567011,0.00917048770320967,0.27039627039627234,0.2680180180180187,0.02857142857142857,0.7083333333333333,0.26823529411764824,0.02,0.01694915254237288,0.73,0.5375,0
0.9005961638154485,0.8655161185281668,0.9168900804289544,0.6818181818181818,0.6736842105263157,0.8382352941176471,0.7971014492753623,0.9148936170212765,0.7792792792792791,0.7589743589743589,0.7486338797814208,0.7416413373860182,0.8079800498753117,0.7241379310344829,0.8040712468193385,0.7976190476190476,0.5699745547073791,0.599236641221374,0.8322981366459627,0.5490848585690529,0.7010309278350516,0.23218007503126303,0.38927738927738886,0.38288288288288186,0.0,0.4583333333333333,0.3317647058823532,0.0,0.0,0.71,0.1875,0
